DT_MOV,MES,UF_MUN,NM_MUN,REGIÃO,FONTE,PROGRAMA,FINALIDADE,ÁREA,SETOR,ATIVIDADE(maior fator),PRODUTO,PORTE,TIPO_PESSOA,GÊNERO,CATEGORIA,SETOR_INTERESSE_FNE,QTD,VALOR_CTR
31/12/2024,1,CE,ABAIARA,Semi árido,FNE,PRONAF MULHER GRUPO B SEMIARID,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Criação de bovinos para leite,Criação de bovinos para leite,PRONAFIANO GRUPO B,F,F,MINI,Pecuaria,11.0,126000.0
31/12/2024,1,CE,ABAIARA,Semi árido,FNE,PRONAF-B/PLANO-SAFRA SEMIARIDO,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Agrícola,Fruticultura,Banana,PRONAFIANO GRUPO B,F,M,MINI,Agricultura,1.0,10000.0
31/12/2024,1,CE,ABAIARA,Semi árido,FNE,PRONAF-B/PLANO-SAFRA SEMIARIDO,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Agrícola,Olericultura,Pimentao,PRONAFIANO GRUPO B,F,M,MINI,Agricultura,1.0,10000.0
31/12/2024,1,CE,ABAIARA,Semi árido,FNE,PRONAF-B/PLANO-SAFRA SEMIARIDO,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Criação de bovinos para leite,Criação de bovinos para leite,PRONAFIANO GRUPO B,F,M,MINI,Pecuaria,11.0,106000.0
31/12/2024,1,CE,ABAIARA,Semi árido,FNE,PRONAF-MAIS ALIMENTOS (FNE),INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Criação de bovinos para leite,Criação de bovinos para leite,PRONAFIANO COMUM,F,F,MINI,Pecuaria,1.0,32500.0
31/12/2024,1,CE,ABAIARA,Semi árido,FNE,PRONAF-MAIS ALIMENTOS (FNE),INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Criação de bovinos para leite,Criação de bovinos para leite,PRONAFIANO COMUM,F,M,MINI,Pecuaria,1.0,60000.0
31/12/2024,1,CE,ALTANEIRA,Semi árido,FNE,PRONAF MULHER GRUPO B SEMIARID,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Criação de bovinos para leite,Criação de bovinos para leite,PRONAFIANO GRUPO B,F,F,MINI,Pecuaria,8.0,95700.0
31/12/2024,1,CE,ALTANEIRA,Semi árido,FNE,PRONAF SEMI-ARIDO - FNE,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Criação de bovinos para leite,Criação de bovinos para leite,PRONAFIANO COMUM,F,F,MINI,Pecuaria,1.0,29996.0
31/12/2024,1,CE,ALTANEIRA,Semi árido,FNE,PRONAF-B/PLANO-SAFRA SEMIARIDO,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Criação de bovinos para leite,Criação de bovinos para leite,PRONAFIANO GRUPO B,F,M,MINI,Pecuaria,4.0,40000.0
31/12/2024,1,CE,ANTONINA DO NORTE,Semi árido,FNE,PRONAF-B/PLANO-SAFRA SEMIARIDO,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Criação de bovinos para leite,Criação de bovinos para leite,PRONAFIANO GRUPO B,F,M,MINI,Pecuaria,1.0,10000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,"PRONAF GRUPO ""B"" - FNE",INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Apicultura,Apicultura,PRONAFIANO GRUPO B,F,M,MINI,Pecuaria,1.0,10000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,"PRONAF GRUPO ""B"" - FNE",INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Criação de bovinos para leite,Criação de bovinos para leite,PRONAFIANO GRUPO B,F,M,MINI,Pecuaria,1.0,10000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF MULHER GRUPO B SEMIARID,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Agrícola,Raizes e Tuberculos,Mandioca,PRONAFIANO GRUPO B,F,F,MINI,Agricultura,6.0,72000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF MULHER GRUPO B SEMIARID,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Apicultura,Apicultura,PRONAFIANO GRUPO B,F,F,MINI,Pecuaria,1.0,12000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF MULHER GRUPO B SEMIARID,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Avicultura,Avicultura,PRONAFIANO GRUPO B,F,F,MINI,Pecuaria,3.0,36000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF MULHER GRUPO B SEMIARID,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Criação de bovinos para leite,Criação de bovinos para leite,PRONAFIANO GRUPO B,F,F,MINI,Pecuaria,4.0,48000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF MULHER GRUPO B SEMIARID,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Ovinocultura,Ovinocultura,PRONAFIANO GRUPO B,F,F,MINI,Pecuaria,1.0,12000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF SEMI-ARIDO - FNE,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Caprinocultura,Caprinocultura,PRONAFIANO COMUM,F,M,MINI,Pecuaria,1.0,28750.74
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF SEMI-ARIDO - FNE,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Criação de bovinos para corte,Criação de bovinos para corte,PRONAFIANO COMUM,F,M,MINI,Pecuaria,2.0,54733.2
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF-B/PLANO-SAFRA SEMIARIDO,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Agrícola,Raizes e Tuberculos,Mandioca,PRONAFIANO GRUPO B,F,M,MINI,Agricultura,8.0,80000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF-B/PLANO-SAFRA SEMIARIDO,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Avicultura,Avicultura,PRONAFIANO GRUPO B,F,M,MINI,Pecuaria,1.0,10000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF-B/PLANO-SAFRA SEMIARIDO,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Caprinocultura,Caprinocultura,PRONAFIANO GRUPO B,F,M,MINI,Pecuaria,1.0,10000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF-B/PLANO-SAFRA SEMIARIDO,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Criação de bovinos para leite,Criação de bovinos para leite,PRONAFIANO GRUPO B,F,M,MINI,Pecuaria,14.0,140000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF-B/PLANO-SAFRA SEMIARIDO,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Ovinocultura,Ovinocultura,PRONAFIANO GRUPO B,F,M,MINI,Pecuaria,1.0,10000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF-B/PLANO-SAFRA SEMIARIDO,INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Suinocultura,Suinocultura,PRONAFIANO GRUPO B,F,M,MINI,Pecuaria,2.0,20000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF-MAIS ALIMENTOS (FNE),INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Agrícola,Raizes e Tuberculos,Mandioca,PRONAFIANO COMUM,F,M,MINI,Agricultura,2.0,37000.0
31/12/2024,1,CE,ARARIPE,Semi árido,FNE,PRONAF-MAIS ALIMENTOS (FNE),INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Pecuária,Criação de bovinos para leite,Criação de bovinos para leite,PRONAFIANO COMUM,F,M,MINI,Pecuaria,2.0,73600.0
31/12/2024,1,CE,ASSARE,Semi árido,FNE,"PRONAF GRUPO ""B"" - FNE",INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Agrícola,Graos,Milho,PRONAFIANO GRUPO B,F,M,MINI,Agricultura,1.0,10000.0
31/12/2024,1,CE,ASSARE,Semi árido,FNE,PRONAF MULHER (GRUPO B),INVESTIMENTO RURAL,FINANCIAMENTOS RURAIS E AGRO-INDUSTRIAIS,Agrícola,Graos,Milho,PRONAFIANO GRUPO B,F,F,MINI,Agricultura,1.0,12000.0
