#cdEstado,nomeUF,cdMunicipio,codMunicIbge,Municipio,MesEmissao,AnoEmissao,cdPrograma,cdSubPrograma,cdFonteRecurso,Atividade,QtdCusteio,VlCusteio,QtdInvestimento,VlInvestimento,QtdComercializacao,VlComercializacao,QtdIndustrializacao,VlIndustrializacao,AreaInvestimento,AreaCusteio,cnpjIF,nomeIF
6,CE,33486,2312304.0,Sï¿½O BENEDITO,10,2020,1,2,300,1,0,0.0,1,14500.0,0,0.0,0,0.0,0.3,0.0,0,BCO DO BRASIL S.A.
6,CE,44901,2308377.0,MIRAï¿½MA,11,2020,1,56,502,1,14,49000.0,3,10000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,19929,2309904.0,PACUJï¿½,9,2020,1,56,502,2,0,0.0,11,36500.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,34863,2304400.0,FORTALEZA,10,2020,999,0,201,1,0,0.0,0,0.0,0,0.0,1,1500000.0,0.0,0.0,60701190,BCO ITAU S.A.
6,CE,10894,2307700.0,MARANGUAPE,4,2020,999,0,201,2,0,0.0,0,0.0,0,0.0,2,2000000.0,0.0,0.0,90400888,BCO MERIDIONAL DO BRASIL S.A.
6,CE,11594,2302305.0,BELA CRUZ,12,2020,1,56,502,2,0,0.0,8,19070.0,0,0.0,0,0.0,3.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,24653,2305407.0,ICï¿½,1,2020,1,2,502,1,0,0.0,1,4233.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,43407,2304277.0,ERERï¿½,9,2020,1,5,502,1,0,0.0,3,27695.18,0,0.0,0,0.0,1.11,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,18425,2305001.0,GUARACIABA DO NORTE,4,2020,1,56,502,2,0,0.0,10,47500.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,11006,2310209.0,PARACURU,2,2020,999,0,502,1,0,0.0,1,117000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,42453,2305357.0,ICAPUï¿½,6,2020,1,56,502,1,7,35000.0,19,91000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,34399,2307601.0,LIMOEIRO DO NORTE,12,2020,1,5,502,1,0,0.0,2,19992.0,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,34818,2313005.0,SOLONï¿½POLE,9,2020,1,56,502,1,0,0.0,4,8500.0,0,0.0,0,0.0,2.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,24457,2311900.0,SABOEIRO,3,2020,1,56,502,1,0,0.0,1,3000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,19929,2309904.0,PACUJï¿½,11,2020,1,56,502,2,0,0.0,3,10000.0,0,0.0,0,0.0,1.7,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,2785,2313401.0,TIANGUï¿½,10,2020,1,54,502,1,0,0.0,3,26499.7,0,0.0,0,0.0,2.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,1652,2301901.0,BARBALHA,2,2020,1,56,502,1,0,0.0,14,48630.0,0,0.0,0,0.0,4.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,16939,2313708.0,UMARI,5,2020,1,2,502,2,0,0.0,3,19999.14,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,7632,2310001.0,PALHANO,5,2020,1,56,502,1,0,0.0,1,5000.0,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,17581,2308609.0,MONSENHOR TABOSA,6,2020,1,56,502,2,0,0.0,6,17996.0,0,0.0,0,0.0,2.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,2682,2311603.0,REDENï¿½ï¿½O,12,2020,1,2,502,1,0,0.0,3,25600.0,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,35439,2311207.0,POTENGI,1,2020,1,56,502,2,0,0.0,10,50000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,22693,2306306.0,ITAPAJï¿½,1,2020,1,56,502,1,3,15000.0,11,36800.0,0,0.0,0,0.0,8.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,20626,2310605.0,PENAFORTE,4,2020,1,56,502,2,0,0.0,20,70000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,55512,2307254.0,JIJOCA DE JERICOACOARA,2,2020,1,56,502,1,7,35000.0,7,34928.9,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,37011,2303501.0,CASCAVEL,12,2020,999,0,303,2,0,0.0,0,0.0,0,0.0,1,10000000.0,0.0,0.0,92702067,BANCO DO ESTADO DO RIO GRANDE DOSUL S.A. - BANRISUL
6,CE,28855,2312106.0,SANTANA DO CARIRI,5,2020,1,56,502,2,0,0.0,27,94270.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,13743,2306603.0,ITATIRA,7,2020,1,56,502,2,6,25600.0,62,200500.0,0,0.0,0,0.0,3.0,4.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,23757,2301802.0,BAIXIO,10,2020,1,56,502,2,0,0.0,9,27450.0,0,0.0,0,0.0,2.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,42398,2308351.0,MILHï¿½,7,2020,1,56,502,2,0,0.0,13,64000.0,0,0.0,0,0.0,5.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,1559,2303709.0,CAUCAIA,3,2020,1,56,502,1,0,0.0,12,23550.0,0,0.0,0,0.0,1.5,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,9843,2311801.0,RUSSAS,12,2020,1,56,502,2,1,5000.0,29,111100.0,0,0.0,0,0.0,15.5,1.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,29287,2303808.0,CEDRO,8,2020,1,56,502,2,0,0.0,85,308900.0,0,0.0,0,0.0,20.5,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,27045,2306504.0,ITAPIï¿½NA,12,2020,1,54,502,1,0,0.0,4,15000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,2682,2311603.0,REDENï¿½ï¿½O,12,2020,1,56,502,1,0,0.0,46,132400.0,0,0.0,0,0.0,16.3,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,43445,2305233.0,HORIZONTE,6,2020,1,56,502,2,0,0.0,3,9000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,42367,2300754.0,AMONTADA,2,2020,1,2,502,1,0,0.0,1,2000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,28783,2310308.0,PARAMBU,2,2020,1,56,502,2,0,0.0,43,113462.0,0,0.0,0,0.0,5.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,19149,2303402.0,CARNAUBAL,5,2020,1,5,502,1,0,0.0,1,15000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,23678,2302909.0,CAPISTRANO,3,2020,1,56,502,2,0,0.0,37,93100.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,17866,2302503.0,BREJO SANTO,7,2020,1,56,502,1,2,10000.0,14,45000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,42343,2313757.0,UMIRIM,8,2020,999,0,502,1,0,0.0,1,25475.0,0,0.0,0,0.0,2.5,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,22026,2308807.0,MORAï¿½JO,6,2020,1,56,502,2,1,1300.0,8,31600.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,22693,2306306.0,ITAPAJï¿½,6,2020,1,56,502,1,9,35000.0,12,45500.0,0,0.0,0,0.0,9.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,8727,2312908.0,SOBRAL,8,2020,999,0,502,2,0,0.0,1,30200.0,0,0.0,0,0.0,3.57,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,37011,2303501.0,CASCAVEL,2,2020,999,0,502,1,0,0.0,3,19984.86,0,0.0,0,0.0,2.5,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,10894,2307700.0,MARANGUAPE,6,2020,999,0,430,2,0,0.0,0,0.0,0,0.0,1,1000000.0,0.0,0.0,60701190,BCO ITAU S.A.
6,CE,40716,2311405.0,QUIXERAMOBIM,10,2020,153,28,505,2,0,0.0,2,90000.0,0,0.0,0,0.0,8.12,0.0,0,BCO DO BRASIL S.A.
6,CE,30881,2311009.0,PORANGA,2,2020,1,56,502,1,0,0.0,1,5000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,9582,2306405.0,ITAPIPOCA,1,2020,1,5,502,2,0,0.0,3,18210.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,30881,2311009.0,PORANGA,5,2020,1,5,502,1,0,0.0,1,340.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,9094,2309300.0,NOVA RUSSAS,10,2020,1,5,502,2,0,0.0,2,15000.0,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,42422,2304251.0,CRUZ,7,2020,1,3,502,1,0,0.0,1,15000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,2785,2313401.0,TIANGUï¿½,6,2020,1,5,502,1,0,0.0,2,15000.0,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,37750,2309607.0,PACAJUS,7,2020,1,56,502,2,0,0.0,20,77800.0,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,22538,2301604.0,ASSARï¿½,9,2020,1,2,502,2,0,0.0,4,103220.0,0,0.0,0,0.0,9.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,2723,2305506.0,IGUATU,10,2020,1,5,502,2,0,0.0,1,15060.0,0,0.0,0,0.0,1.11,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,24653,2305407.0,ICï¿½,6,2020,1,5,502,1,0,0.0,2,7892.03,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,43517,2311264.0,QUITERIANï¿½POLIS,6,2020,1,5,502,1,0,0.0,2,14900.4,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,34320,2300408.0,AIUABA,12,2020,1,2,450,2,0,0.0,6,60087.5,0,0.0,0,0.0,194.0,0.0,0,BCO DO BRASIL S.A.
6,CE,7900,2300309.0,ACOPIARA,2,2020,1,5,502,1,0,0.0,1,4000.0,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,19929,2309904.0,PACUJï¿½,10,2020,1,56,502,2,1,5000.0,7,24000.0,0,0.0,0,0.0,3.4,0.6,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,46318,2305266.0,IBARETAMA,5,2020,999,0,502,2,0,0.0,3,23206.0,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,26723,2301109.0,ARACATI,1,2020,1,56,502,1,4,17000.0,45,131600.0,0,0.0,0,0.0,229.8,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,7223,2302800.0,CANINDï¿½,12,2020,1,5,502,2,0,0.0,19,89876.49,0,0.0,0,0.0,7.03,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,9269,2313500.0,TRAIRI,4,2020,1,2,502,1,0,0.0,1,4507.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,28855,2312106.0,SANTANA DO CARIRI,12,2020,1,56,502,1,0,0.0,9,30000.0,0,0.0,0,0.0,1.9,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,34399,2307601.0,LIMOEIRO DO NORTE,9,2020,1,2,502,2,0,0.0,1,20000.0,0,0.0,0,0.0,2.06,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,26723,2301109.0,ARACATI,12,2020,1,54,502,2,0,0.0,4,10250.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,17945,2306108.0,IRAUï¿½UBA,1,2020,1,54,502,2,0,0.0,4,26469.16,0,0.0,0,0.0,1.5,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,15387,2307908.0,MARTINï¿½POLE,6,2020,1,56,502,1,6,26000.0,9,40950.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,35312,2309409.0,NOVO ORIENTE,4,2020,1,2,502,1,0,0.0,1,4600.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,11594,2302305.0,BELA CRUZ,6,2020,1,56,502,2,0,0.0,2,5100.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,35336,2308708.0,MORADA NOVA,1,2020,999,0,430,2,0,0.0,0,0.0,1,4950000.0,0,0.0,0.0,0.0,90400888,BCO MERIDIONAL DO BRASIL S.A.
6,CE,35312,2309409.0,NOVO ORIENTE,3,2020,1,56,502,2,0,0.0,26,97250.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,30214,2305605.0,INDEPENDï¿½NCIA,3,2020,1,56,502,2,0,0.0,27,125000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,43438,2304954.0,GUAIï¿½BA,4,2020,1,56,502,2,0,0.0,1,3000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,2723,2305506.0,IGUATU,6,2020,1,2,502,1,0,0.0,4,34926.57,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,4886,2309102.0,MULUNGU,10,2020,999,0,502,1,0,0.0,10,268737.36,0,0.0,0,0.0,13.02,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,10894,2307700.0,MARANGUAPE,10,2020,1,56,502,1,1,5000.0,34,92800.0,0,0.0,0,0.0,11.9,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,35484,2305803.0,IPU,2,2020,1,56,502,1,0,0.0,7,35000.0,0,0.0,0,0.0,5.5,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,2682,2311603.0,REDENï¿½ï¿½O,5,2020,1,5,502,1,0,0.0,2,19992.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,6389,2304202.0,CRATO,9,2020,1,5,502,2,0,0.0,2,19992.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,3179,2310902.0,PIQUET CARNEIRO,5,2020,1,56,502,2,0,0.0,1,5000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,51114,2304459.0,FORTIM,7,2020,1,56,502,1,2,10000.0,16,75000.0,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
